Temperature	Conductivity	Date	Time
385317	 5703.086	21 Nov 2024	22:11:19
385355	 5703.090	21 Nov 2024	22:11:21
385248	 5703.102	21 Nov 2024	22:11:23
385170	 5703.106	21 Nov 2024	22:11:25
385275	 5703.113	21 Nov 2024	22:11:27
385168	 5703.113	21 Nov 2024	22:11:29
385285	 5703.121	21 Nov 2024	22:11:31
385346	 5703.137	21 Nov 2024	22:11:33
385260	 5703.144	21 Nov 2024	22:11:35
385264	 5703.164	21 Nov 2024	22:11:37
385354	 5703.172	21 Nov 2024	22:11:39
385338	 5703.180	21 Nov 2024	22:11:41
385370	 5703.180	21 Nov 2024	22:11:43
385365	 5703.180	21 Nov 2024	22:11:45
385365	 5703.180	21 Nov 2024	22:11:47
385450	 5703.180	21 Nov 2024	22:11:49
385405	 5703.180	21 Nov 2024	22:11:51
385350	 5703.180	21 Nov 2024	22:11:53
385420	 5703.180	21 Nov 2024	22:11:55
385400	 5703.180	21 Nov 2024	22:11:57
385346	 5703.172	21 Nov 2024	22:12:00
385342	 5703.172	21 Nov 2024	22:12:02
385360	 5703.176	21 Nov 2024	22:12:04
385389	 5703.176	21 Nov 2024	22:12:06
385366	 5703.168	21 Nov 2024	22:12:08
385263	 5703.156	21 Nov 2024	22:12:10
384862	 5703.164	21 Nov 2024	22:12:12
384707	 5703.469	21 Nov 2024	22:12:14
385061	 5703.594	21 Nov 2024	22:12:16
385227	 5703.621	21 Nov 2024	22:12:18
385230	 5703.574	21 Nov 2024	22:12:20
385213	 5703.539	21 Nov 2024	22:12:22
385160	 5703.512	21 Nov 2024	22:12:24
385033	 5703.500	21 Nov 2024	22:12:26
385106	 5703.488	21 Nov 2024	22:12:28
385063	 5703.488	21 Nov 2024	22:12:30
385094	 5703.500	21 Nov 2024	22:12:32
385100	 5703.508	21 Nov 2024	22:12:34
385081	 5703.531	21 Nov 2024	22:12:36
385090	 5703.535	21 Nov 2024	22:12:38
385097	 5703.539	21 Nov 2024	22:12:40
